Название,Призы,Регистрация,Длительность,Ссылка,Telegram чат,Комментарии
,,дедлайн,июнь,,,
,,,,,,
,,,,,,
,,,,,,
What’s the Hack? ЭКСПО!,"1 место - 200.000 р.*
2 место - 125.000 р.*
3 место - 75.000 р.*

*после вычета НДФЛ",28.07.2024 23:59 мск,1.08 - 10.08,https://xn--80atboel4a0d.xn--p1ai/,,
,,дедлайн,август,,,
AI ARROW – 2024,,02.08.2024 23:59 мск,07.06 - 11.08,https://ai-arrow-camp.com/,,"Буткемп заканчивается 
хакатоном
17.06 - 05.07 - JUNIOR
01.07 - 19.07 - MIDDLE
15.07 - 02.08 - SENIOR
Все занятия https://www.youtube.com/playlist?list=PLN9wo69_k3aYR7zAutQrFXWDLKSpdz6Ns"
Google gemini hack,"Главный приз - Custom Electric 1981 Delorean

Категория Инновации:
- Самое эффективное приложение - $300 000
- Самое полезное приложение - $200 000
- Самое творческое приложение - $200 000

Категория Технологии:
- Лучшее приложение Flutter - $50 000
- Лучшее приложение для Android - $50 000
- Лучшее веб -приложение - $50 000
- Лучшее использование Arcore - $50 000
- Лучшее использование пожарной базы - $50 000
- Лучшее игровое приложение - $50 000",13.08.2024 02:59 мск,14.05 - 01.10,https://ai.google.dev/competition#timeline,https://t.me/+vmogerFZWchkYmEy,
E-CUP 2024,"1 место - 350 000 р.
2 место - 150 000 р.
3 место - 100 000 р.
Эксклюзивный мерч команды Ozon Tech",18.08.2024 23:59 мск,19.08 - 13.09,https://e-cup-ozon.ru/,,
,,дедлайн,сентябрь,,,
,,,,,,
,,,,,,
"AI CHALLENGE
Международный конкурс
по искусственному интеллекту 
для молодежи","Призовой фонд: 17 000 000 ₽

Начинающие. В каждом из пяти направлений
1 место — 150 000 ₽
2 место — 100 000 ₽
3 место — 50 000 ₽

Креативные. В каждом из пяти направлений
1 место — 150 000 ₽
2 место — 100 000 ₽
3 место — 50 000 ₽

Исследователи. В первой категории (4 направления)
1 место — 1 000 000 ₽
2 место — 600 000 ₽
3 место — 400 000 ₽

Исследователи. Во второй категории (2 направления)
1 место — 1 500 000 ₽
2 место — 900 000 ₽
3 место — 600 000 ₽",15.09.2024 23:59 мск,15.04 - 31.12,https://aiijc.com/ru/,,"Участники – физические лица 
не старше 17 лет (включительно)
на момент регистрации на 
участие в Конкурсе"
,,дедлайн,ноябрь,,,
The AI Agents Global Challenge,"The total prize pool of $1,000,000 will be distributed across 4 winners, 
each winner will get:
 - $150K in uncapped SAFE investment.
- $100K in GPU compute or AI Model APIs credits.
- Opportunity to engage with an AI startups incubator / accelerator.
- Opportunity to access further funding from Agentplex Ventures.",15.11.2024,15.11.24 - 31.01.25,https://aiagentschallenge.com/,,
Хакатон «Kazan Digital Transformation»,800 000 рублей,05.08.24,27-29 сентября 2024,https://hcklink.ru/711,,
