Название,Призы,Регистрация,Длительность,Ссылка,Telegram чат,Комментарии
,,дедлайн,июнь,,,
DataCon,"- Стажировка в Центре ИИ в химии ИТМО
- Индивидуальное достижение при поступлении в ИТМО
- Поступление без экзаменов в ИТМО","20.06.2024 23:55 мск
Закончена",10.07 - 01.08,https://geekbattle.online/events/datacon-2024,https://t.me/+45YTRJcTCe9hM2Uy,
,,дедлайн,июль,,,
Build with Low-Code: Langflow Hack,"- Grand Prize Winner (1st Place): $1,800
- Runner-Up (2nd Place): $1,200
- Runner-Up (3rd Place): $800

and special awards for:
- Langflow Team Favourite: $600
- Noble Cause Award: $600

Awarded to the teams that presents the most innovative and effective 
use of Langflow, demonstrating exceptional creativity and technical proficiency.",12.07.2024 19:00 мск,12 - 14,https://lablab.ai/event/langflow-hackathon,,
DatsDefense,"1 место – Apple MacBook Air 13 на каждого участника;
2 место – AirPods на каждого участника;
3 место – Умная колонка Яндекс Станция Мини на каждого участника.",12.07.2024 17:00 мск,12 - 13,https://www.xn--80aa3anexr8c.xn--p1acf/tpost/yvpg542381-datsdefense,,
Codestral Hackathon: 24 Hours Challenge,A fast-track to your interview for the Lablab NEXT acceleration program.,16.07.2024 19:00 мск,16 - 17,https://lablab.ai/event/codestral-ai-hackathon,,
Llama 3 hackathon ,"All projects must utilize the Llama 3 model.

- Together AI Best use: $2500 Together AI credits
- Acceleration Opportunity
- Fast-track interview for Lablab NEXT 
- LlamaIndex Best use: $1000 Cash prize

Note: Lablab NEXT is the main prize, and teams can win in multiple categories.",19.07.2024 19:00 мск,19 - 21,https://lablab.ai/event/llama-3-ai-hackathon,,
Falcon Hackathon,"1. Grand Prize Winner (1st Place):
    - Cash: $5,000
    - Credits: $5,000 Compute

2. Runner-Up (2nd Place):
    - Cash: $3,000
    - Credits: $3,000 Compute

3. Runner-Up (3rd Place):
    - Cash: $2,000
    - Credits: $2,000 Compute",26.07.2024 19:00 мск,26.07 - 05.08,https://lablab.ai/event/falcon-hackathon,,
What’s the Hack? ЭКСПО!,"1 место - 200.000 р.*
2 место - 125.000 р.*
3 место - 75.000 р.*

*после вычета НДФЛ",28.07.2024 23:59 мск,1.08 - 10.08,https://xn--80atboel4a0d.xn--p1ai/,,
,,дедлайн,август,,,
AI ARROW – 2024,,02.08.2024 23:59 мск,07.06 - 11.08,https://ai-arrow-camp.com/,,"Буткемп заканчивается 
хакатоном
17.06 - 05.07 - JUNIOR
01.07 - 19.07 - MIDDLE
15.07 - 02.08 - SENIOR
Все занятия https://www.youtube.com/playlist?list=PLN9wo69_k3aYR7zAutQrFXWDLKSpdz6Ns"
Google gemini hack,"Главный приз - Custom Electric 1981 Delorean

Категория Инновации:
- Самое эффективное приложение - $300 000
- Самое полезное приложение - $200 000
- Самое творческое приложение - $200 000

Категория Технологии:
- Лучшее приложение Flutter - $50 000
- Лучшее приложение для Android - $50 000
- Лучшее веб -приложение - $50 000
- Лучшее использование Arcore - $50 000
- Лучшее использование пожарной базы - $50 000
- Лучшее игровое приложение - $50 000",13.08.2024 02:59 мск,14.05 - 01.10,https://ai.google.dev/competition#timeline,https://t.me/+vmogerFZWchkYmEy,
E-CUP 2024,"1 место - 350 000 р.
2 место - 150 000 р.
3 место - 100 000 р.
Эксклюзивный мерчкоманды Ozon Tech",18.08.2024 23:59 мск,19.08 - 13.09,https://e-cup-ozon.ru/,,
,,дедлайн,сентябрь,,,
"Всероссийская олимпиада
по искусственному интеллекту 2024",Преимущества при поступлении в ведущие вузы страны,"09.09.2024 09:00 - 
06.10.2024 23:59 мск",09.09 - 16.11,https://ai.edu.gov.ru/,,Ученики 8-11 классов
"Совместный профиль Академии 
искусственного интеллекта для 
школьников и Национальной 
технологической олимпиады","- Преимущества при поступлении в лучшие профильные вузы страны
- Денежные сертификаты на образование
- Приглашение на менторскую программу со специалистами из ИИ-сферы
- Приглашение на стажировку в экосистему Сбера по направлению 
«Машинное обучение»",08.2024 - 09.2024,01.09 - 31.12,https://ai-academy.ru/olympiad/,,Для школьников
"AI CHALLENGE
Международный конкурс
по искусственному интеллекту 
для молодежи","Призовой фонд: 17 000 000 ₽

Начинающие. В каждом из пяти направлений
1 место — 150 000 ₽
2 место — 100 000 ₽
3 место — 50 000 ₽

Креативные. В каждом из пяти направлений
1 место — 150 000 ₽
2 место — 100 000 ₽
3 место — 50 000 ₽

Исследователи. В первой категории (4 направления)
1 место — 1 000 000 ₽
2 место — 600 000 ₽
3 место — 400 000 ₽

Исследователи. Во второй категории (2 направления)
1 место — 1 500 000 ₽
2 место — 900 000 ₽
3 место — 600 000 ₽",15.09.2024 23:59 мск,15.04 - 31.12,https://aiijc.com/ru/,,"Участники – физические лица 
не старше 17 лет (включительно)
на момент регистрации на 
участие в Конкурсе"
